Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DP.BMP,resources/DB.BMP,resources/DG.BMP,resources/DY.BMP,resources/DBN.BMP,resources/DR.BMP,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,-0.005062838,-0.415716037,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,ctch,resources/DY.BMP,resources/DP.BMP,Door4,-0.375934153,-0.119008096,1,0,0,3.9955,optionLeft,60,60,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door3,-0.324876705,-0.055653281,1,0,0,1.69,optionLeft,70,130,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,WildCard_NonEx,0.382472508,-0.026033393,1,0,0,1.725,optionRight,55,185,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,Door2,-0.275332097,-0.052036518,1,0,0,1.2938,optionLeft,20,205,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door4,0.351403465,-0.06428818,1,0,0,1.3596,optionRight,80,285,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door4,-0.310521336,-0.029214564,1,0,0,1.0104,optionLeft,60,345,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h21.41.015,HF_wild_card,2022.2.4,Linux x86_64,60.00960154,58ff27489ca116000122f93e,64ce5acb97489d65b14ecc7a,64cf49f0f9b448e22ecbd555,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door1,0.310035097,-0.024284255,1,0,0,1.2276,optionRight,30,375,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
