Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion
1,resources/DY.BMP,resources/DP.BMP,resources/DR.BMP,resources/DB.BMP,resources/DG.BMP,resources/DBN.BMP,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,-0.003703704,-0.423148148,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DP.BMP,resources/DY.BMP,Door2,-0.363888889,-0.058333333,1,0,0,2.169,optionLeft,20,20,1,0,0,0,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DB.BMP,resources/DR.BMP,Door3,0.37962963,0.001851852,1,0,0,1.116,optionRight,70,90,1,1,0,1,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DP.BMP,resources/DY.BMP,Door1,0.323148148,0.000925926,1,0,0,0.666,optionRight,30,120,1,2,0,2,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DBN.BMP,resources/DY.BMP,WildCard_NonEx,-0.249074074,-0.017592593,1,0,0,0.832,optionLeft,45,165,1,3,0,3,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,0.289814815,0.02962963,1,0,0,0.648,optionRight,60,225,1,4,0,4,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door1,-0.240740741,0.002777778,1,0,0,0.542,optionLeft,30,255,1,5,0,5,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,WildCard_NonEx,-0.285185185,0.002777778,1,0,0,0.75,optionLeft,55,310,1,6,0,6,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DB.BMP,resources/DR.BMP,Door3,0.442592593,0.034259259,1,0,0,1.861,optionRight,70,380,1,7,0,7,0,1,,,,,,
