Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
2,resources/DB.BMP,resources/DY.BMP,resources/DP.BMP,resources/DR.BMP,resources/DG.BMP,resources/DBN.BMP,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,-0.02,-0.425,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.39625,0.01,1,0,0,2.44,optionRight,55,55,1,0,0,0,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,0.42,-0.01375,1,0,0,2.248,optionRight,20,75,1,1,0,1,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,WildCard_NonEx,-0.35375,0.02375,1,0,0,2.465,optionLeft,55,130,1,2,0,2,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.48875,0.0075,1,0,0,1.164,optionLeft,55,185,1,3,0,3,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door4,-0.395,0.07375,1,0,0,1.714,optionLeft,80,265,1,4,0,4,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,WildCard_NonEx,0.345,0.03,1,0,0,1.295,optionRight,55,320,1,5,0,5,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,Door4,0.38375,0.03375,1,0,0,1.373,optionRight,60,380,1,6,0,6,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DP.BMP,resources/DY.BMP,Door3,-0.43625,-0.04,1,0,0,1.583,optionLeft,70,450,1,7,0,7,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.475,-0.03125,1,0,0,1.196,optionLeft,45,495,1,8,0,8,0,1
