Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DR.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DG.BMP,resources/DY.BMP,resources/DP.BMP,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,-0.006481453,-0.409259302,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door1,0.402777778,-0.074074074,1,0,0,1.2443,optionRight,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door4,-0.307407414,-0.12962963,1,0,0,0.6668,optionLeft,80,110,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door2,-0.214814787,-0.054629644,1,0,0,0.5197,optionLeft,40,150,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door2,-0.209259245,-0.08425928,1,0,0,0.7709,optionLeft,40,190,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door3,-0.253703718,-0.073148162,1,0,0,0.8246,optionLeft,70,260,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door3,0.378703788,0.003703683,1,0,0,0.5539,optionRight,70,330,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,ctch,resources/DG.BMP,resources/DR.BMP,Door4,-0.237037023,-0.083333333,1,0,0,0.7365,optionLeft,60,390,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
