Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DG.BMP,resources/DY.BMP,resources/DB.BMP,resources/DR.BMP,resources/DBN.BMP,resources/DP.BMP,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,0.009259288,-0.417592621,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,-0.211111111,-0.134259288,1,0,0,10.155,optionLeft,80,80,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,-0.212962935,-0.045370399,1,0,0,2.356,optionLeft,60,140,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door1,-0.225925912,-0.003703732,1,0,0,1.9915,optionLeft,30,170,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DB.BMP,resources/DR.BMP,Door4,0.3,-0.003703732,1,0,0,1.0777,optionRight,60,230,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,ctch,resources/DR.BMP,resources/DG.BMP,Door1,0.301851908,-0.063888889,1,0,0,2.5814,optionRight,30,260,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door1,-0.184259245,-0.000925954,1,0,0,1.1579,optionLeft,30,290,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h47.38.217,HF_wild_card,2022.2.4,Win32,60.0276127,6074b1a4765dd68a61e40bb4,64d2fd46c836a06233681665,64dc7f05d511e4427e42da2a,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door3,0.320370399,-0.02129631,1,0,0,0.7901,optionRight,70,360,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
