Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
1,resources/DY.BMP,resources/DB.BMP,resources/DR.BMP,resources/DG.BMP,resources/DP.BMP,resources/DBN.BMP,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,0.011111111,-0.426984127,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.2,-0.165079365,1,0,0,2.737,optionLeft,20,20,1,0,0,0,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,Door1,-0.287301587,-0.007142857,1,0,0,1.194,optionLeft,30,50,1,1,0,1,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.322222222,0.000793651,1,0,0,1.679,optionLeft,40,90,1,2,0,2,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DY.BMP,resources/DG.BMP,Door1,-0.312698413,-0.005555556,1,0,0,1.312,optionLeft,30,120,1,3,0,3,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,WildCard_NonEx,-0.371428571,0.019047619,1,0,0,1.18,optionLeft,45,165,1,4,0,4,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.342857143,-0.00952381,1,0,0,1.161,optionRight,55,220,1,5,0,5,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door1,0.322222222,-0.017460317,1,0,0,0.845,optionRight,30,250,1,6,0,6,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,0.38968254,-0.013492063,1,0,0,1.612,optionRight,30,280,1,7,0,7,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,0.369047619,-0.000793651,1,0,0,0.846,optionRight,20,300,1,8,0,8,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,WildCard_NonEx,-0.405555556,0.01031746,1,0,0,0.928,optionLeft,55,355,1,9,0,9,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,Door3,0.331746032,-0.026190476,1,0,0,0.861,optionRight,70,425,1,10,0,10,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.29047619,0.003174603,1,0,0,0.711,optionLeft,45,470,1,11,0,11,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,0.44047619,-0.016666667,1,0,0,1.195,optionRight,20,490,1,12,0,12,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door2,-0.38015873,0.00952381,1,0,0,0.546,optionLeft,40,530,1,13,0,13,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door3,-0.423809524,0.012698413,1,0,0,0.978,optionLeft,70,600,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door4,-0.30952381,0,1,0,0,0.81,optionLeft,80,680,1,15,0,15,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,-0.306349206,0.015873016,1,0,0,0.662,optionLeft,30,710,1,16,0,16,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.411111111,-0.015873016,1,0,0,0.762,optionRight,45,755,1,17,0,17,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DG.BMP,resources/DY.BMP,Door4,-0.342857143,0.008730159,1,0,0,1.279,optionLeft,80,835,1,18,0,18,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.469047619,0.020634921,1,0,0,0.776,optionLeft,55,890,1,19,0,19,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door3,-0.374603175,0.004761905,1,0,0,0.845,optionLeft,70,960,1,20,0,20,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,WildCard_NonEx,0.377777778,-0.01031746,1,0,0,0.712,optionRight,45,1005,1,21,0,21,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,Door3,-0.187301587,-0.011111111,1,0,0,0.762,optionLeft,70,1075,1,22,0,22,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DG.BMP,resources/DY.BMP,Door4,-0.438095238,0.017460317,1,0,0,0.829,optionLeft,80,1155,1,23,0,23,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door4,-0.316666667,0.023015873,1,0,0,0.762,optionLeft,80,1235,1,24,0,24,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,WildCard_NonEx,0.288888889,-0.003968254,1,0,0,1.196,optionRight,45,1280,1,25,0,25,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door4,-0.36031746,0.013492063,1,0,0,0.629,optionLeft,80,1360,1,26,0,26,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.263492063,-0.002380952,1,0,0,0.612,optionLeft,20,1380,1,27,0,27,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door3,0.376190476,-0.018253968,1,0,0,0.729,optionRight,70,1450,1,28,0,28,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door4,0.361904762,-0.005555556,1,0,0,0.613,optionRight,60,1510,1,29,0,29,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DY.BMP,resources/DG.BMP,Door1,-0.276984127,-0.008730159,1,0,0,0.563,optionLeft,30,1540,1,30,0,30,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DBN.BMP,resources/DY.BMP,WildCard_NonEx,-0.343650794,0.012698413,1,0,0,0.746,optionLeft,55,1595,1,31,0,31,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,WildCard_NonEx,0.402380952,0.001587302,1,0,0,0.645,optionRight,55,1650,1,32,0,32,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DB.BMP,resources/DR.BMP,Door2,-0.399206349,0.018253968,1,0,0,0.729,optionLeft,20,1670,1,33,0,33,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,WildCard_NonEx,0.402380952,0.01031746,1,0,0,0.862,optionRight,45,1715,1,34,0,34,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door3,-0.253968254,0,1,0,0,1.012,optionLeft,70,1785,1,35,0,35,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DB.BMP,resources/DR.BMP,Door3,0.374603175,-0.012698413,1,0,0,0.745,optionRight,70,1855,1,36,0,36,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door4,-0.308730159,0.01984127,1,0,0,0.644,optionLeft,80,1935,1,37,0,37,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,-0.28015873,0.008730159,1,0,0,0.978,optionLeft,30,1965,1,38,0,38,0,1
,,,,,,,,2023-08-16_08h50.55.095,HF_wild_card,2022.2.4,MacIntel,2.824858757,597a088221db3a00014176c3,64d2fd46c836a06233681665,64dc7f8ade80fc8d131f2163,,,,,,,ctch,resources/DR.BMP,resources/DB.BMP,Door3,-0.365873016,0.004761905,1,0,0,1.245,optionLeft,70,2035,1,39,0,39,0,1
