Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64dc7447d4ec9d8f39c4936c,5ee3be6ff942c407cd54e6ce,APPROVED,2023-08-16T07:05:56.066000Z,2023-08-16T07:29:34.388000Z,2023-08-16T15:07:07.632000,2023-08-16T07:29:34.868731Z,1419,C2BFG2BR,1221,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc754aa21bd6b8ade6c0fb,6158e8533a2bc1a989fc0b22,RETURNED,2023-08-16T07:05:49.420000Z,2023-08-16T07:51:38.445000Z,,2023-08-16T07:51:39.597000Z,,NOCODE,218,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64dc7580e16980cfae864776,6400dc9a87b5f4d0c3604bf3,APPROVED,2023-08-16T07:06:52.104000Z,2023-08-16T07:25:21.201000Z,2023-08-16T15:07:07.773000,2023-08-16T07:25:22.147646Z,1110,C2BFG2BR,161,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64dc75a355f70a6055c54717,5a4e26a8f4c9dc0001b7a1b5,APPROVED,2023-08-16T07:07:19.786000Z,2023-08-16T07:30:19.176000Z,2023-08-16T15:07:07.911000,2023-08-16T07:30:19.609140Z,1380,C2BFG2BR,963,English,39,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
64dc75a3df1ea72463ade36f,5a9f9e14b5e2110001c6f6f5,APPROVED,2023-08-16T07:15:02.277000Z,2023-08-16T07:35:53.408000Z,2023-08-16T15:07:08.044000,2023-08-16T07:35:53.866948Z,1252,C2BFG2BR,537,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64dc75d673c899f353f75cf0,5ed9e3fa856ca9599fa8ea91,APPROVED,2023-08-16T07:08:11.628000Z,2023-08-16T07:31:02.897000Z,2023-08-16T15:07:08.190000,2023-08-16T07:31:03.496548Z,1372,C2BFG2BR,103,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64dc75f7f001a851bd4411c2,59dd4d2b0fb3a90001bd91f8,APPROVED,2023-08-16T07:08:45.338000Z,2023-08-16T07:36:33.345000Z,2023-08-16T15:07:08.327000,2023-08-16T07:36:33.875750Z,1669,C2BFG2BR,1314,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc76ace7af757f82f02f92,5db41a3f9ca75a000b71110c,APPROVED,2023-08-16T07:12:38.960000Z,2023-08-16T07:52:48.934000Z,2023-08-16T15:07:08.462000,2023-08-16T07:52:49.372386Z,2410,C2BFG2BR,843,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7733356a092c90feb18e,63d7a7ee06462ef3355ea771,APPROVED,2023-08-16T07:13:59.397000Z,2023-08-16T07:34:47.929000Z,2023-08-16T15:07:08.603000,2023-08-16T07:34:48.402523Z,1249,C2BFG2BR,139,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64dc7790573c091cd0be8935,5cb710c9ac9259001681e253,APPROVED,2023-08-16T07:15:31.116000Z,2023-08-16T07:52:02.679000Z,2023-08-16T15:07:08.748000,2023-08-16T07:52:03.218943Z,2192,C2BFG2BR,373,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
