Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
2,resources/DY.BMP,resources/DB.BMP,resources/DP.BMP,resources/DBN.BMP,resources/DR.BMP,resources/DG.BMP,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,0.007978723,-0.416888298,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,Door4,0.023271277,-0.298537234,1,0,0,2.8757,optionLeft,80,80,1,0,0,0,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,WildCard_NonEx,-0.239361702,-0.023271277,1,0,0,1.8785,optionLeft,55,135,1,1,0,1,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door2,0.36037234,0.021941489,1,0,0,1.4009,optionRight,20,155,1,2,0,2,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,WildCard_NonEx,0.240691489,-0.035239362,1,0,0,1.908,optionRight,45,200,1,3,0,3,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door3,-0.216090426,-0.017952128,1,0,0,0.7961,optionLeft,70,270,1,4,0,4,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,WildCard_NonEx,-0.234042553,-0.003324468,1,0,0,0.9612,optionLeft,45,315,1,5,0,5,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,-0.206781915,0.027260638,1,0,0,0.7075,optionLeft,30,345,1,6,0,6,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door2,0.359042553,-0.089760638,1,0,0,0.7426,optionRight,20,365,1,7,0,7,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.166888298,0.033909574,1,0,0,0.7235,optionLeft,40,405,1,8,0,8,0,1
,,,,,,,,2023-08-06_08h22.26.352,HF_wild_card,2022.2.4,Win32,59.77286312,611a8d23c1d17506a23df589,64ce5acb97489d65b14ecc7a,64cf4a1a1ef27e1f87418d4b,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door4,0.384308511,0,1,0,0,0.5288,optionRight,60,465,1,9,0,9,0,1
