Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
1,resources/DBN.BMP,resources/DG.BMP,resources/DP.BMP,resources/DB.BMP,resources/DR.BMP,resources/DY.BMP,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,-0.026587888,-0.408419498,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door4,0.035450517,-0.300590842,1,0,0,0.711,optionRight,60,60,1,0,0,0,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,WildCard_NonEx,-0.274741507,-0.03323486,1,0,0,2.861,optionLeft,45,105,1,1,0,1,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door3,-0.280649926,-0.006646972,1,0,0,1.964,optionLeft,70,175,1,2,0,2,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,WildCard_NonEx,0.228951256,-0.045051699,1,0,0,1.053,optionRight,45,220,1,3,0,3,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door2,0.503692762,0.019940916,1,0,0,1.531,optionRight,20,240,1,4,0,4,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,Door2,0.338257016,-0.061299852,1,0,0,3.953,optionRight,40,280,1,5,0,5,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door4,0.206794682,-0.005169867,1,0,0,2.147,optionRight,80,360,1,6,0,6,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,WildCard_NonEx,-0.307237814,-0.006646972,1,0,0,1.301,optionLeft,55,415,1,7,0,7,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,Door1,-0.251107829,0.028803545,1,0,0,1.423,optionLeft,30,445,1,8,0,8,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door3,0.381093058,0.034711965,1,0,0,2.615,optionRight,70,515,1,9,0,9,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door4,-0.285081241,0.003692762,1,0,0,1.129,optionLeft,80,595,1,10,0,10,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,WildCard_NonEx,0.339734121,-0.021418021,1,0,0,2.403,optionRight,45,640,1,11,0,11,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,Door3,0.35155096,-0.043574594,1,0,0,3.565,optionRight,70,710,1,12,0,12,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,Door3,0.313146233,0.005169867,1,0,0,1.798,optionRight,70,780,1,13,0,13,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door1,0.342688331,-0.043574594,1,0,0,1.278,optionRight,30,810,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door2,-0.363367799,0.014032496,1,0,0,3.147,optionLeft,20,830,1,15,0,15,0,1
