Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DY.BMP,resources/DR.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DP.BMP,resources/DG.BMP,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,0.011038274,-0.415547269,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,WildCard_Ex,-0.376340676,-0.09731339,1,0,0,2.545,optionLeft,95,95,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door1,-0.285535745,-0.049828179,1,0,0,1.5806,optionLeft,30,125,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,ctch,resources/DR.BMP,resources/DBN.BMP,Door2,-0.375507648,-0.034832931,1,0,0,0.8992,optionLeft,20,145,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,ctch,resources/DY.BMP,resources/DB.BMP,Door4,0.46006455,-0.006508389,1,0,0,0.7981,optionRight,60,205,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,Door3,-0.450484198,0.004321541,1,0,0,0.4978,optionLeft,70,275,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,Door3,0.354264337,0.033479112,1,0,0,0.6476,optionRight,70,345,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.30.840,HF_wild_card,2022.2.4,Win32,59.97720866,5641c95d17bdbe00102a0b51,64d2fd46c836a06233681665,64dc7e4ec85895763d4e5777,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,WildCard_Ex,-0.338019372,-0.031500573,1,0,0,0.6474,optionLeft,95,440,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
