Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
2,resources/DBN.BMP,resources/DR.BMP,resources/DG.BMP,resources/DB.BMP,resources/DY.BMP,resources/DP.BMP,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,0.00125,-0.4175,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DG.BMP,resources/DR.BMP,Door3,-0.29125,0.02875,1,0,0,1.747,optionLeft,70,70,1,0,0,0,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,WildCard_NonEx,0.28,0.00375,1,0,0,1.289,optionRight,45,115,1,1,0,1,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,-0.4,-0.02,1,0,0,1.115,optionLeft,40,155,1,2,0,2,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door1,-0.3475,0.02,1,0,0,1.087,optionLeft,30,185,1,3,0,3,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door3,-0.34125,0.04875,1,0,0,1.323,optionLeft,70,255,1,4,0,4,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,-0.32625,0.0325,1,0,0,1.487,optionLeft,40,295,1,5,0,5,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door1,0.3125,-0.0125,1,0,0,2.034,optionRight,30,325,1,6,0,6,0,1
