Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
1,resources/DBN.BMP,resources/DP.BMP,resources/DG.BMP,resources/DY.BMP,resources/DB.BMP,resources/DR.BMP,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,-0.026036132,-0.429861849,1,0,0,agree,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DG.BMP,resources/DP.BMP,Door2,0.265143464,-0.244952179,1,0,0,1.655,optionRight,20,20,1,0,0,0,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door1,0.295961743,0.00053135,1,0,0,2.088,optionRight,30,50,1,1,0,1,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DBN.BMP,resources/DY.BMP,Door1,-0.402231668,-0.012221041,1,0,0,2.695,optionLeft,30,80,1,2,0,2,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door1,0.334218916,0.006907545,1,0,0,0.804,optionRight,30,110,1,3,0,3,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door3,0.215196599,-0.02816153,1,0,0,1.512,optionRight,70,180,1,4,0,4,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door3,0.232199787,-0.001594049,1,0,0,1.388,optionRight,70,250,1,5,0,5,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door3,0.410733262,-0.035600425,1,0,0,0.85,optionRight,70,320,1,6,0,6,0,1
