Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64cf466aeaf0773358abe779,5ccfc9a51aa04800169be694,APPROVED,2023-08-06T07:06:25.773000Z,2023-08-06T07:31:02.355000Z,2023-08-06T18:37:08.703000,2023-08-06T07:31:02.842580Z,1477,C2BFG2BR,118,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64cf4693ff1573428ea185e1,5d7824b816dea6000130d65f,APPROVED,2023-08-06T07:07:13.664000Z,2023-08-06T07:53:44.417000Z,2023-08-06T18:37:08.841000,2023-08-06T07:53:44.839852Z,2791,C2BFG2BR,1039,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
64cf46a626a4b01c44514c0b,5fa5d1ec86ac6817fddaff05,APPROVED,2023-08-06T07:07:21.164000Z,2023-08-06T08:38:11.867000Z,2023-08-06T18:37:08.965000,2023-08-06T08:38:12.483942Z,5451,C2BFG2BR,991,English,34,Female,Black,Zambia,United Kingdom,United Kingdom,English,No,Full-Time
64cf47c779638d2f13de6259,5cc29fbea548c00018afb7a0,APPROVED,2023-08-06T07:12:11.579000Z,2023-08-06T07:37:05.135000Z,2023-08-06T18:37:09.088000,2023-08-06T07:37:05.595201Z,1494,C2BFG2BR,477,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64cf47e88c3ec2fdd075b2ec,5fa40b2f3fbded08ed561c30,RETURNED,2023-08-06T07:12:43.459000Z,2023-08-06T07:28:54.572000Z,,2023-08-06T07:28:55.155000Z,,NOCODE,553,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64cf47f0acc4858e8327c027,5c5c9a127bca5b000167acb8,APPROVED,2023-08-06T07:12:53.246000Z,2023-08-06T07:35:40.323000Z,2023-08-06T18:37:09.223000,2023-08-06T07:35:40.780312Z,1368,C2BFG2BR,720,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64cf48483c8673a31cdd9710,60eb11e45f3e9cb0ae58a090,APPROVED,2023-08-06T07:14:19.148000Z,2023-08-06T07:47:40.562000Z,2023-08-06T18:37:09.355000,2023-08-06T07:47:41.358956Z,2002,C2BFG2BR,953,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64cf4855491fef45d3990989,615cb147f04efc8a8c2ff1e5,APPROVED,2023-08-06T07:14:29.770000Z,2023-08-06T07:34:01.840000Z,2023-08-06T18:37:09.483000,2023-08-06T07:34:02.283483Z,1173,C2BFG2BR,203,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64cf48565f20021d64852ce6,5f5c9cd537f71148d341a0f2,APPROVED,2023-08-06T07:14:30.418000Z,2023-08-06T07:29:55.424000Z,2023-08-06T18:37:09.606000,2023-08-06T07:29:55.899125Z,926,C2BFG2BR,762,"Chinese, English",37,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64cf4888732099a712481116,61475c6bb6cdf4eadb143dd8,APPROVED,2023-08-06T07:17:34.816000Z,2023-08-06T07:38:11.912000Z,2023-08-06T18:37:09.730000,2023-08-06T07:38:12.393709Z,1238,C2BFG2BR,557,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
