Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e7023ae3f4db086359aaf0,5e54182318e10a414234535d,AWAITING REVIEW,2023-08-24T07:09:51.714000Z,2023-08-24T07:34:30.461000Z,,2023-08-24T07:34:30.968656Z,1479,C2BFG2BR,408,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64e70269cbfa0cfac04f5ff8,634d98bd566df98eb0e95314,AWAITING REVIEW,2023-08-24T07:10:36.659000Z,2023-08-24T07:30:23.757000Z,,2023-08-24T07:30:24.361406Z,1188,C2BFG2BR,285,English,34,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
64e702af6d57a321564976c6,5d809e67bfa8460017d9c934,AWAITING REVIEW,2023-08-24T07:14:24.162000Z,2023-08-24T07:42:53.694000Z,,2023-08-24T07:42:54.595994Z,1710,C2BFG2BR,221,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64e702cc52f22cf9bc8bc95d,613e72b49567f3e1d92b2ff5,AWAITING REVIEW,2023-08-24T07:12:16.466000Z,2023-08-24T07:33:42.897000Z,,2023-08-24T07:33:43.346451Z,1287,C2BFG2BR,168,English,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e702f43b67dfb0b5513012,5a5e03dd8e62590001762542,AWAITING REVIEW,2023-08-24T07:12:55.552000Z,2023-08-24T07:40:32.128000Z,,2023-08-24T07:40:32.674416Z,1657,C2BFG2BR,899,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64e7030d2cef0e14468cfdd0,638070625c26e262f2163254,AWAITING REVIEW,2023-08-24T07:13:21.918000Z,2023-08-24T07:36:50.602000Z,,2023-08-24T07:36:51.123384Z,1409,C2BFG2BR,565,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64e70360d7ca356bf54da705,62966289dc2720a7bbedb8f8,AWAITING REVIEW,2023-08-24T07:14:45.611000Z,2023-08-24T07:42:01.322000Z,,2023-08-24T07:42:01.802977Z,1636,C2BFG2BR,468,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e7039a2e3784d32f5a4bb8,607f441b91a96d298ca2d347,AWAITING REVIEW,2023-08-24T07:15:42.285000Z,2023-08-24T07:36:09.141000Z,,2023-08-24T07:36:09.629659Z,1227,C2BFG2BR,1396,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64e7039bb48d24a34a1af74a,603ce90d158dc4ae761a15fa,AWAITING REVIEW,2023-08-24T07:15:50.920000Z,2023-08-24T07:34:43.868000Z,,2023-08-24T07:34:44.365658Z,1133,C2BFG2BR,240,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64e703ae4d17421b1fb7e83a,56ca0400b30699000bd9d94f,AWAITING REVIEW,2023-08-24T07:24:57.034000Z,2023-08-24T08:22:49.151000Z,,2023-08-24T08:22:50.236636Z,3473,C2BFG2BR,1997,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
